# r   PMF(r)   Fit(r)
19.775000  -0.344758  -0.342716
19.800000  -0.344222  -0.342186
19.825000  -0.343686  -0.341657
19.850000  -0.343153  -0.341130
19.875000  -0.342621  -0.340604
19.900000  -0.342090  -0.340079
19.925000  -0.341561  -0.339556
19.950000  -0.341034  -0.339034
19.975000  -0.340508  -0.338513
20.000000  -0.339984  -0.337994
20.025000  -0.339462  -0.337476
20.050000  -0.338941  -0.336960
20.075000  -0.338421  -0.336444
20.100000  -0.337904  -0.335930
20.125000  -0.337388  -0.335418
20.150000  -0.336873  -0.334906
20.175000  -0.336360  -0.334396
20.200000  -0.335848  -0.333887
20.225000  -0.335338  -0.333380
20.250000  -0.334830  -0.332873
20.275000  -0.334323  -0.332368
20.300000  -0.333818  -0.331865
20.325000  -0.333314  -0.331362
20.350000  -0.332811  -0.330861
20.375000  -0.332310  -0.330361
20.400000  -0.331810  -0.329863
20.425000  -0.331312  -0.329365
20.450000  -0.330815  -0.328869
20.475000  -0.330320  -0.328374
20.500000  -0.329826  -0.327880
20.525000  -0.329333  -0.327388
20.550000  -0.328842  -0.326897
20.575000  -0.328352  -0.326407
20.600000  -0.327863  -0.325918
20.625000  -0.327376  -0.325430
20.650000  -0.326889  -0.324944
20.675000  -0.326404  -0.324459
20.700000  -0.325921  -0.323975
20.725000  -0.325438  -0.323492
20.750000  -0.324957  -0.323010
20.775000  -0.324476  -0.322530
20.800000  -0.323997  -0.322051
20.825000  -0.323519  -0.321573
20.850000  -0.323043  -0.321096
20.875000  -0.322567  -0.320620
20.900000  -0.322092  -0.320145
20.925000  -0.321619  -0.319672
20.950000  -0.321146  -0.319200
20.975000  -0.320675  -0.318729
21.000000  -0.320204  -0.318259
21.025000  -0.319735  -0.317790
21.050000  -0.319267  -0.317322
21.075000  -0.318799  -0.316856
21.100000  -0.318333  -0.316390
21.125000  -0.317867  -0.315926
21.150000  -0.317403  -0.315463
21.175000  -0.316940  -0.315001
21.200000  -0.316477  -0.314540
21.225000  -0.316016  -0.314080
21.250000  -0.315555  -0.313621
21.275000  -0.315095  -0.313164
21.300000  -0.314637  -0.312707
21.325000  -0.314179  -0.312252
21.350000  -0.313722  -0.311798
21.375000  -0.313266  -0.311344
21.400000  -0.312811  -0.310892
21.425000  -0.312357  -0.310441
21.450000  -0.311904  -0.309991
21.475000  -0.311452  -0.309542
21.500000  -0.311000  -0.309095
21.525000  -0.310550  -0.308648
21.550000  -0.310100  -0.308202
21.575000  -0.309652  -0.307757
21.600000  -0.309204  -0.307314
21.625000  -0.308758  -0.306871
21.650000  -0.308312  -0.306430
21.675000  -0.307867  -0.305989
21.700000  -0.307423  -0.305550
21.725000  -0.306980  -0.305112
21.750000  -0.306538  -0.304674
21.775000  -0.306097  -0.304238
21.800000  -0.305657  -0.303803
21.825000  -0.305218  -0.303368
21.850000  -0.304779  -0.302935
21.875000  -0.304342  -0.302503
21.900000  -0.303906  -0.302072
21.925000  -0.303470  -0.301641
21.950000  -0.303036  -0.301212
